Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45
2016-01-16,5096,8692,87694,6481,4562,1489179,33871,13515,67490,92552,133669,49621,107882,135966,173052,66932,140617,28257,23428,76397,397076,54277,9835,98261,217253,69807,25465,16851,67338,84720,39513,69235,70698,286888,21035,907,36768,1136,3202,887,88693,27956,48814,35510,2023
2016-01-17,5546,9103,95760,6700,4874,1522980,37595,15318,81577,105855,143634,57876,145279,150630,169859,69573,188710,29844,20523,93277,539740,56946,10574,126884,196708,80937,38378,25077,75925,86966,73039,55253,74863,285913,19372,969,39349,1332,2892,869,77815,12969,48703,32201,3362
2016-01-18,5618,9425,127192,6251,5253,1631291,44719,15888,110152,109347,131111,53987,119542,160366,162383,42444,171493,28550,15409,89937,558670,50723,12136,96844,184971,64951,27886,18803,58766,79678,29941,44061,68741,323989,63033,1305,42984,3754,3776,3602,58545,7143,42102,24644,2836
2016-01-19,15142,10021,134907,6841,5517,1689504,54427,18127,116100,114200,129789,54032,114156,156236,154267,32151,134998,27560,14917,82480,402764,47793,14250,99756,192661,112688,25981,17812,66629,85972,22373,37759,62791,323045,17852,2329,43146,3478,3897,3403,51834,3889,50521,24246,3219
2016-01-20,7670,10861,133915,6744,5345,1649542,55592,26144,121206,126287,116811,59778,128098,140436,163451,43118,125828,30116,68286,75235,366182,74472,14227,230831,172005,72290,27188,18596,68177,78526,20037,61069,81591,224792,15687,1888,40039,1495,5219,1805,100659,3078,56397,22952,2733
2016-01-21,9328,15708,128398,6738,5426,1650316,52940,28747,114305,266673,123454,59300,126336,136071,169242,32602,114608,27796,22822,73789,352918,66902,13030,114145,165205,60695,25578,18809,57347,72554,23547,50135,67743,196775,15013,2005,42180,1757,4359,1899,62529,2822,55236,21926,3045
2016-01-22,6498,10559,124430,6622,10302,1574350,44996,18659,102305,135599,143372,59443,126991,134428,149932,37236,105814,27405,18348,79727,363250,73685,11532,91330,187356,60696,24836,16357,100230,70680,65175,48285,58288,157049,13853,1506,32104,1394,3798,1735,50638,2691,51230,22356,2710
2016-01-23,6470,8949,96485,6091,5410,1497357,38374,19466,88159,106129,132341,70947,119514,138389,139764,66256,82476,39713,16269,67166,569701,139001,9860,79015,177124,136063,49061,18807,88971,73074,30240,47088,71572,155266,22879,1373,40856,1478,3172,1146,52067,2591,44983,21763,3333
2016-01-24,6244,10285,96097,5932,5700,1534671,40828,19794,109480,105855,139796,65304,128553,156893,200762,62831,143809,33875,24936,79364,735863,150312,10605,117173,191497,104588,83107,25663,71034,83516,44239,48807,65796,155604,27418,1375,42967,1312,2776,974,40525,2199,40465,20486,3873
2016-01-25,17570,10357,135218,6728,5726,1643470,49685,19111,119745,119291,116300,59286,118095,230741,140428,32241,113697,29942,17684,98372,735562,80121,12059,96803,164851,73818,36587,19049,58743,75349,28383,63023,63665,187325,19668,1557,43005,2026,3905,2335,40819,2166,44489,19593,3804
2016-01-26,6514,8994,143949,6363,5606,1675648,58654,28079,136661,131020,121614,56137,120431,145180,135586,40790,93385,31418,14285,79396,416677,53359,11924,86539,162123,69998,30929,18268,53025,71799,20249,45320,55405,170086,75137,1406,46285,4278,3729,4249,40589,2272,60315,19682,3527
2016-01-27,6374,10007,144010,6777,5766,1666791,56108,22490,139953,125087,115248,55496,115948,134592,129741,43911,164382,34471,18302,77748,408921,44962,12663,80554,151910,76376,31219,19132,57448,78865,19974,44694,79558,115044,35649,1675,38914,1305,4047,1732,44091,2306,59005,20627,3462
2016-01-28,5828,8850,134195,6497,5694,1641910,50294,20741,121767,114939,111040,53145,110296,134996,126007,43933,114099,35292,14902,91242,379967,42939,11604,87792,164425,60072,30555,129065,50720,68420,19084,36956,57146,99955,19925,1397,38413,1342,3853,1706,48712,2197,54072,20374,4256
2016-01-29,5873,8943,120891,11254,8829,1545138,39843,16044,93959,97637,122002,53041,112518,143207,126800,44442,131739,34047,14535,75360,393031,42545,10977,102251,173191,97861,29160,16610,55693,67535,20929,44622,62093,113140,21368,1312,29308,1170,3490,1515,45165,2141,52254,23159,4118
2016-01-30,5749,8281,92361,10375,5219,1481429,36024,15784,86143,97857,120546,65222,110987,133344,120564,103330,93456,33386,14712,84213,392381,86109,9057,92854,182308,77450,30510,18998,59449,69376,26048,47740,68118,146007,22273,1118,29348,938,2577,877,45136,2241,45322,22093,3869
2016-01-31,8009,26896,98597,8369,5360,1529747,37376,18762,96724,105522,145798,58583,128527,150516,142537,71318,284763,35185,27544,106240,425948,104209,10864,98525,188041,95529,38073,21561,74917,87658,29590,45968,64818,158208,116070,1096,38122,1046,2801,791,41732,2225,42814,21117,5836
2016-02-01,6310,9336,138092,7741,5694,1610850,45077,19139,119070,119713,116500,58948,112588,142680,141141,43311,129338,37950,17509,113904,439570,61514,13635,93985,168150,75241,35904,17665,71526,71646,30317,43714,53531,134466,40370,1314,37609,1294,4024,1612,41165,2695,46630,19775,4559
2016-02-02,6629,8946,138885,8508,5880,1657459,53177,18145,142898,144224,129875,71020,147256,254527,161185,36487,83618,31301,13552,99534,566100,36841,13937,89622,198569,77230,44413,16916,61755,71453,19488,35940,53195,138461,41413,1589,30190,1218,4012,1557,42945,2452,53334,18904,4074
2016-02-03,6775,8781,141048,8616,5361,1677594,56089,17760,148690,156174,183257,90562,157663,246811,202645,37785,78543,30669,12377,84574,732861,31867,12959,87757,386392,81260,35241,19632,73288,93364,18479,38924,60014,105542,23070,1377,27873,1322,3981,1718,41495,3508,55084,19286,3148
2016-02-04,6674,9155,138796,10195,5662,1659672,55858,25708,143969,164066,113934,54698,106927,131809,118623,39581,70593,28108,34895,79737,593295,29977,12960,92586,278976,65628,27043,39597,59388,70257,43687,40612,53934,96099,30054,1297,24599,1233,3403,1698,41816,2152,48979,18368,2917
2016-02-05,6100,9086,131820,18778,5626,1575934,46515,22246,120220,135218,112287,56530,114144,128928,113645,30990,69095,26844,21263,81137,533391,32562,10973,108258,206817,68067,27380,23512,64182,66434,20783,379192,57457,106216,23720,1189,13307,1045,3310,1424,39094,1973,44603,18744,2520
2016-02-06,5900,8540,95784,28187,4852,1540888,37228,18221,84257,115007,146284,65157,107999,129500,118993,49110,58933,30130,15939,116145,520958,52560,8908,104478,197191,74687,34309,18004,74227,64873,21194,73021,64689,153399,36987,885,9439,834,2145,666,36516,1734,40638,33099,2248
2016-02-07,9034,8361,98257,13581,5215,1560954,50593,22242,99050,126274,132605,63913,122564,135514,198442,42557,91046,32293,16919,91680,938218,60371,10068,124570,208196,119670,39743,22498,81180,89776,24968,77337,64571,194519,26131,825,40574,811,2190,630,28517,2091,39638,17915,2784
2016-02-08,22890,8758,137308,19275,5707,1646243,50514,22262,127528,166461,118718,62138,114962,133356,183878,29678,98013,30279,14762,99718,2089890,31399,10893,152975,190131,82859,34745,18801,103505,89302,25767,48305,58037,117853,47925,1131,9859,1078,3162,1349,33521,4033,38897,19521,3180
2016-02-09,12448,8615,137687,6612,5645,1706548,57156,22841,150372,174603,126231,62535,113513,144262,128542,31398,78975,28998,13975,83627,605670,28978,11907,115287,168376,96172,32363,17904,92323,75481,24404,39722,242099,112786,26943,1062,9861,1104,3055,1462,35299,3595,40883,21656,3886
2016-02-10,8808,8758,138249,7184,5469,3727592,59136,22860,155971,203708,121549,69385,110159,150618,117289,27855,69230,31995,13217,79252,718358,25205,14936,103371,224954,105340,36452,17727,85034,100437,26926,108011,313090,128259,25123,1233,10149,1238,3586,1450,39647,3563,45771,22076,4011
2016-02-11,10973,8856,135397,6800,5621,2335879,60004,24791,150723,189484,121782,64055,113944,150145,109116,26504,63883,27547,17040,76845,550300,24514,12337,94913,228523,73428,48821,19055,388909,71740,25786,67622,351598,124991,25462,2111,17328,2171,5947,2299,42878,3487,48701,24597,5396
2016-02-12,6374,8859,132426,7589,6481,1573265,59061,39072,124876,195464,118542,56705,135518,141694,110047,27641,60033,27024,16429,88368,445360,25890,11058,99393,216209,73980,41360,16985,100456,111555,19641,46978,768244,98810,31667,1449,10871,1385,4744,1810,49569,3631,60712,22247,6641
2016-02-13,6029,8938,113315,7060,5317,1514390,102203,36019,100129,196391,122493,60400,112584,132780,135551,45546,61920,28599,17376,84726,486367,40944,181557,92238,203954,84436,35243,16936,95151,76897,27557,53139,222607,124086,40501,921,8023,1027,2442,642,56847,3633,52265,23884,7986
2016-02-14,6106,8779,106459,6603,4840,1552758,88208,31680,118251,562866,158907,95376,124563,146483,150028,41653,83310,32161,30148,91140,564011,50592,321995,101150,207695,112912,34281,20923,151164,72494,27362,49530,184230,134818,34786,771,7504,898,2373,625,55625,3803,47147,24077,7814
2016-02-15,10537,9731,131711,6688,5643,1664583,81795,31753,154690,252615,167159,90149,112515,144870,128040,30021,74653,37580,29941,103353,972023,42883,138049,106740,284668,97459,33258,30454,145959,65289,20042,38264,155223,103357,41871,963,10532,1024,3261,1397,50460,3195,44950,23590,6640
2016-02-16,7251,8701,139553,6629,5670,1702026,85182,28273,168818,174396,157333,86295,129864,157942,114281,25685,72687,29036,16458,90064,514775,32589,96246,95382,217267,83267,31067,28554,95342,75362,19225,52583,135929,99603,35721,1126,9417,1208,3527,1524,47976,4117,50614,26341,4621
2016-02-17,6159,9214,141562,6774,5526,1735432,86245,30632,168355,154698,148347,81625,185697,142316,111936,23904,70691,68737,12524,76335,520707,42228,60687,88350,243421,79416,24951,47067,76131,89727,19156,50841,120766,95895,25343,1097,9260,1179,3473,1498,46851,3439,51740,27509,3567
2016-02-18,6044,9249,138345,6787,5670,1679004,82366,84240,161992,139619,121350,58177,112261,145099,105639,23286,68119,40803,13316,68349,469621,37399,41277,92170,222407,78543,25555,42903,71054,697324,21180,44180,90688,99733,19999,1226,8858,1296,3549,1495,54487,3383,46986,21230,3194
2016-02-19,6196,8845,130961,6820,5261,1596255,56855,45138,131982,119618,135905,75169,105969,135739,113498,24396,68358,31012,13100,67729,481514,38059,33231,105424,216240,70162,25221,25340,68700,66833,22779,45844,102516,113829,20464,1106,8767,1252,3401,1318,70913,4182,44037,21586,3215
2016-02-20,5670,8653,98335,6753,4963,1542288,46862,30175,103841,94215,109130,47059,103736,150990,100620,70399,62378,83164,13315,96973,574534,59961,26630,101401,223890,79896,26802,26310,81913,74008,23177,54347,85354,154542,27952,875,8634,1047,2623,736,72700,5307,40688,22982,4142
2016-02-21,5804,8667,100136,6728,4946,1612643,51688,26605,122131,112501,124923,55200,117544,145273,104520,36385,76061,42646,14529,83356,677945,73872,21488,118763,301325,83593,40072,24344,104896,76516,27897,50740,97565,144918,21477,987,13466,1469,3281,730,76538,6965,40805,28446,4075
2016-02-22,7785,8688,138815,6868,5184,1696506,57303,24357,160077,129474,109960,51811,113859,166173,102940,30879,69050,34345,12014,88418,739094,51006,24790,109443,259806,85839,32520,24303,81136,76373,20151,43603,69493,119307,17930,1199,9276,1233,3654,1393,97251,16012,42314,25890,2953
2016-02-23,7462,9040,136697,7000,5237,1709523,60626,27094,174458,126735,113828,54204,120722,209534,104974,33717,70703,31886,19528,75615,537674,30457,27263,92069,234075,70919,26988,21461,66518,93681,19266,39115,66308,119074,29365,1213,10728,1267,3735,1542,60894,4632,45824,31316,3229
2016-02-24,6440,8724,138228,7432,6825,1707038,60323,35493,183019,127640,113182,52455,118187,154871,102991,30575,107932,31708,152828,75473,589493,28485,31803,86055,304002,67325,30546,20526,64363,122958,18734,40803,65040,116296,17146,1281,10471,1991,4532,1649,56936,3155,47349,25422,3018
2016-02-25,6994,10019,140742,8388,6911,1669246,58638,31676,191012,123162,118132,58784,110537,143074,99334,32833,92295,30752,30485,66987,506969,26974,25196,84650,253951,64523,28557,26856,63944,90100,17528,46753,58806,102505,17796,1184,8864,1883,4053,1484,51705,3121,42587,26510,2729
2016-02-26,6896,9979,130441,8377,6878,1591731,44814,25427,129004,101029,111580,53219,106444,133588,103980,26723,75879,30360,18302,68939,455232,27389,20601,93056,202136,64684,29180,21117,65215,69983,18115,87181,73124,152740,30396,1144,9824,1934,3727,1404,50958,3443,41204,27410,2821
2016-02-27,7051,9203,102105,8209,5265,1565630,40623,23586,103851,90703,125186,49188,112505,155621,118948,38937,65469,29853,18221,59690,448753,43740,14332,82732,258477,66420,30879,19079,72817,72888,20222,54948,66686,141054,28471,907,7235,1244,2987,766,54687,4529,38489,31392,3252
2016-02-28,6667,9736,106411,8819,5436,1619794,46455,42602,141219,111285,126827,61001,134243,167706,162655,43509,82575,32584,20542,79694,529761,55756,14970,89435,237739,89140,38098,21769,77935,84147,29556,49005,68198,178995,33572,1030,13143,1607,4099,819,54249,3777,34431,55354,3130
2016-02-29,8062,9357,139272,7386,6882,1949036,54487,37342,180019,213968,138597,53635,157913,151126,502680,47826,168669,32993,20908,86648,661126,44352,23677,86847,211375,79968,38246,30148,66556,77527,24275,43155,102439,212405,20556,1316,10193,1822,4318,1603,74982,3338,41773,38015,3107
2016-03-01,10598,10073,148562,8236,6123,1774445,58148,35934,197184,138972,125237,104770,110480,148450,234324,28455,87971,31367,15635,76005,496560,28089,22961,86736,202512,69784,46824,21973,80321,84980,26048,35938,66315,124489,19688,1233,9551,1433,4376,1717,48803,2707,48450,23330,2856
2016-03-02,7936,9980,144177,7310,5663,1742389,63651,41371,169805,131087,130608,60496,105375,132524,160769,24294,98092,33980,13685,81036,517634,24135,25335,85893,232109,68512,49061,23327,63976,90782,18827,41695,55801,164649,17600,1200,10174,1469,4097,1583,45454,2958,47523,20650,2760
2016-03-03,6525,10302,143640,8120,5861,1728917,64378,30672,163853,129375,123991,51274,102043,127108,139749,23563,108733,28236,13054,68161,424979,23722,27226,88247,221206,60449,36723,21304,56404,70040,18961,43348,53412,129592,47253,1191,12407,1542,4151,1542,45396,3027,37217,19233,2825
2016-03-04,6264,9849,137497,8465,5969,1636852,54671,26142,139014,107727,118625,45511,95819,124164,123442,22352,81754,36983,11595,65077,651049,24185,16400,97920,209642,89311,32728,19734,63569,62647,39169,43147,96968,152678,110170,1307,10595,1518,3909,1421,64244,10011,35759,19705,2899
2016-03-05,6048,10202,105436,8663,5250,1608733,44547,22944,144032,99157,370160,60075,112007,130873,125361,30065,72838,27924,12676,63824,582553,39157,12872,125314,212528,68469,32054,19179,72600,64672,33699,48765,105092,136098,57814,1017,8619,1471,3879,1010,86931,7518,33836,23417,3031
2016-03-06,5851,10589,110624,8868,5463,1661616,49460,24992,121306,112804,190235,54412,108393,126212,117878,38387,83723,30135,26845,74324,635594,46734,13274,115453,311531,71857,42105,21591,127294,72864,33068,53500,76795,164135,51933,1128,12026,1401,3529,861,77655,4602,34964,24375,2747
2016-03-07,7467,10849,148812,8736,7191,1729997,60151,25452,143046,126134,138547,56005,104032,119876,115618,28679,74696,26445,14402,80330,654805,31781,15587,124041,251443,65078,30602,19685,77005,63779,22613,43768,67612,134675,50595,1218,11197,1423,4341,1499,70118,8113,38130,19020,2519
2016-03-08,4921,9973,155225,8388,6988,1742118,61509,26954,160648,128979,137976,51775,118006,163974,105195,28474,75870,26412,11547,77146,466618,20994,16090,164040,212990,61550,28003,17709,59845,66213,20689,39562,70671,111893,44046,1246,10172,1533,4019,1498,54269,3704,40841,18044,2674
2016-03-09,5953,9991,140220,7040,5883,1732661,61312,32318,160723,132323,122193,58977,107143,170704,104287,25991,73907,26829,11531,129435,465242,20275,16419,174534,215110,63210,26973,19662,67335,70021,33491,53419,90413,110199,26581,1104,9127,1543,4050,1510,83160,2870,36083,17870,2516
2016-03-10,4892,9562,136126,6481,6044,1691085,55969,27790,151332,132621,156662,53753,108442,170120,103702,27187,81847,31474,12131,81110,417997,19536,15116,150477,200849,57027,25697,23914,58120,61898,19825,61454,67650,97151,28378,1152,9705,1268,3795,1555,71055,3263,32481,18622,2623
2016-03-11,5137,9765,128165,7092,6793,1613111,47268,20307,118388,121025,110294,52004,103964,181969,109477,37150,79561,26055,12483,69150,1356046,20566,14273,143403,194142,54377,23394,19101,70473,56907,23212,61900,57180,114292,35724,1002,8155,1260,3563,1372,55196,5986,33646,26822,2448
2016-03-12,5325,9413,93587,6389,6364,1646014,39441,18319,94032,91502,110788,51143,106040,145216,114625,25094,75966,27199,13466,64493,371026,30751,11182,129250,204428,56687,24952,21080,57499,62290,21848,56340,66931,120116,124786,915,7691,939,2308,711,79712,11388,36636,22278,2490
2016-03-13,6500,9852,98918,6927,5168,1639772,48365,21480,119873,112463,124183,195823,121338,151870,205512,25393,78628,42005,14035,88108,423173,40428,12205,130887,234970,72932,32514,23346,68955,96507,33807,55655,68241,166612,50459,829,14305,1511,3274,688,87913,8288,38938,22521,2976
2016-03-14,5723,9629,141322,7490,5433,1707990,57502,25513,147965,128167,131014,70686,115933,136248,125137,39596,74717,44985,11419,84328,386790,28055,14276,124942,217276,77024,27328,19335,63481,74540,62340,46752,63396,111955,36312,1106,8457,1250,3515,1551,65800,5259,39149,18037,2703
2016-03-15,5535,9275,140066,6364,4953,1708908,60700,25542,167029,137424,138729,73425,111872,146958,116336,30538,77044,33193,10945,76329,356326,20296,14969,108488,231811,69181,24672,18143,55475,68411,46643,67586,56165,112290,85870,1133,9395,1189,3629,1545,61312,4244,43793,18825,2599
2016-03-16,5814,8623,133419,7521,5058,1708120,60860,28185,175598,135860,121646,57887,110485,138131,115855,22339,72554,37835,10290,80691,397605,28015,61879,114661,239892,66918,26750,18764,66281,69770,27342,60666,52938,111443,75724,1087,22254,1174,3324,1478,53073,3566,48093,17202,2574
2016-03-17,5687,17267,137071,6846,5043,1649513,57999,23889,278223,123878,119609,50728,106736,131068,111956,20232,84080,28499,9861,66847,332156,29334,40347,115272,216214,64334,26497,21476,50496,62888,22812,54012,49269,102585,55308,1156,8799,1257,3958,1501,45863,17927,72137,17374,2569
2016-03-18,5422,9392,120333,6824,5038,1564625,47497,18970,160447,101250,145832,52351,120574,136431,107827,23998,74282,29774,10135,76272,334330,26461,23103,138992,219500,59363,22633,17850,51567,63966,32564,76429,52518,102531,30869,1088,8399,1168,3545,1379,41556,49926,50454,17050,2640
2016-03-19,5209,9455,94595,6455,4771,1472626,39519,21188,87652,81776,123824,47041,113787,148754,100848,23229,92224,25797,11353,68714,346535,32440,18167,146185,255586,61730,22220,18224,58546,76126,26243,75871,68456,132111,52914,823,7450,866,2557,672,53556,17434,33668,18275,3013
2016-03-20,5489,9855,98568,6930,4923,1575846,41221,20673,81539,86348,132063,55254,139459,151647,123738,31774,101983,26374,13510,80956,373625,39431,19702,149892,269110,86267,30978,19144,68449,103717,51599,73463,60509,117414,31954,827,7055,1034,2569,698,51792,9211,30167,19919,3847
2016-03-21,5902,9698,133969,6483,5356,1555133,56581,18702,97981,96458,118198,51692,130386,144774,105113,28823,81246,25329,11296,84648,361323,29375,20934,137598,224290,73172,23259,21140,63482,86625,33733,71500,112735,110121,31950,957,8519,1214,3396,1396,43751,11077,31469,17041,3072
2016-03-22,5767,9685,134581,6928,5096,1554825,59287,17760,97028,98059,134649,50769,141160,139254,212696,21576,69113,21851,10651,72257,340918,24565,17801,123419,229808,60869,21653,23225,77254,66648,34491,47061,58405,87739,23900,972,14198,1428,4557,1390,39351,9143,33847,16110,2772
2016-03-23,6343,9441,131519,10625,5029,1515427,47398,17385,87613,93706,112980,54036,124355,134910,103212,20303,64966,24644,19654,69967,383504,20264,17127,111394,207763,72148,27260,19829,74533,68146,40539,48354,50798,97877,23571,1098,9589,1211,3624,1475,38303,6110,33122,16047,2728
2016-03-24,5988,9730,130346,8519,5228,1445429,44089,17233,78980,122271,110015,54029,122289,164525,112101,20001,59950,25793,33401,83136,460402,20109,15161,107550,211941,83210,26015,21398,62469,63162,30362,69578,51457,107498,21890,1006,8407,1277,3270,1485,36288,13569,33269,16095,2498
2016-03-25,5013,10474,111630,6592,4597,1429838,49408,19296,84157,170630,109728,49873,140778,140741,117527,25428,71573,60615,25462,125228,348813,23380,13076,115312,235406,115955,41943,20813,70128,63505,24430,77077,63181,98739,30832,921,9588,1146,2834,958,36130,7314,40437,17414,2429
2016-03-26,6193,8529,89150,5936,4555,1451262,53715,19564,95177,158999,118464,51491,128349,131217,120205,21458,85734,29621,13190,78675,339802,33405,11493,99092,222387,136007,29166,20875,112184,60597,25901,55112,65243,107597,50497,739,12206,1074,2539,634,42781,4412,40516,18042,2307
2016-03-27,5439,9527,95840,6419,4566,1509284,61350,20069,101378,121173,128210,62168,141408,139971,128125,22676,75276,39253,13735,81362,375028,42876,12492,102684,228357,217289,30898,20243,94881,64058,27229,54103,68627,129009,61546,803,11466,1248,2507,680,44013,4105,36584,20109,2805
2016-03-28,5972,94226,120350,6664,5326,1650129,69996,22379,131062,160000,121024,55074,119950,144250,111005,35252,95005,36634,14677,87889,364881,28503,14870,124068,230424,127940,27170,22598,79789,67094,22742,78427,64161,98294,24996,1027,12199,1265,3241,1133,36394,5633,33770,18483,2852
2016-03-29,6471,90948,133511,7139,5441,1655016,63025,22480,147337,182937,107704,57154,121300,139215,106871,24120,66017,29045,11798,110437,337821,20313,15697,99945,212913,70666,57199,25517,64220,72399,21012,92188,87770,102420,21431,1224,11946,1391,3656,1581,35586,3213,32535,18396,2692
2016-03-30,6138,90029,155762,7137,8448,1656848,59741,33878,141649,240265,112887,53825,112658,139475,108140,22569,68902,27269,12582,84355,324857,17872,14920,92970,196714,58917,37459,24959,156546,84776,18376,65467,64485,89435,18219,1296,9335,1664,4624,1518,36753,3524,30525,19860,2792
2016-03-31,6504,50758,159241,7090,6838,1636098,57179,25770,137727,123703,102611,53221,111583,127782,112242,20777,61422,39773,22122,75081,299546,17504,13832,98851,200282,58515,25406,28023,52354,66250,17375,43125,51724,104653,17886,1006,9874,1679,4382,1493,33290,2906,28660,18721,3766
2016-04-01,5962,9527,148040,6728,5765,1557740,51479,21906,109243,98504,101687,52574,105384,128424,195533,34130,70779,29730,12932,73801,307842,17602,12372,97660,192000,51785,22347,18299,52621,58619,19017,64248,61151,283022,17650,1156,8946,1447,3917,1624,32960,2908,29047,19853,4977
2016-04-02,5835,8923,108278,6368,5021,1487188,43608,30674,91748,84122,121302,50814,135930,152025,105539,29285,57987,22568,10937,124094,453776,22175,18920,144893,210628,51742,28902,16534,73623,61999,21389,73708,113354,141303,21914,712,6964,1170,3076,656,41247,3664,30409,28772,3188
2016-04-03,5757,9256,122265,7088,5138,1560770,55378,36398,106997,115592,123421,62644,145244,161377,115311,30364,64091,23518,12905,110382,516680,26460,23919,136782,243359,54622,31011,17063,60964,67322,19973,62899,116767,176629,19305,946,24518,3150,4584,741,44747,3749,31261,32771,3064
2016-04-04,6490,10104,161697,7234,5585,1736357,61427,35056,135654,125903,115109,55370,142578,172982,101117,35298,61977,22097,9832,110807,441579,19300,21236,124895,199417,52610,24537,18518,65154,64514,19489,55262,87646,122711,19834,1611,10366,1607,5160,1858,50086,3287,36296,31043,3085
2016-04-05,6022,10798,165347,7609,5563,1717173,59217,26931,148495,137269,176002,52818,127456,163188,99326,33392,71759,26387,10287,88939,444436,17558,22042,123686,199891,50007,27998,17983,56766,75598,19155,60281,79396,97960,16682,2014,16394,2158,7410,1527,44626,2906,33944,30143,3007
2016-04-06,6723,10769,162354,8664,5834,1777354,60349,34290,164976,130127,131315,51935,129918,152504,96640,31385,68315,26016,9706,82896,529313,17694,24041,122464,216965,54411,24222,17904,58771,66717,23926,47670,63414,150710,17338,2014,10717,1505,4336,1575,38538,2674,29553,24806,2624
2016-04-07,6335,10342,158769,7045,5650,1732662,57028,26614,154608,130496,117720,53844,130120,158814,98158,28223,71360,46815,40038,71473,333001,17952,12801,94787,226369,50679,22140,19456,59036,58533,28069,48178,67636,109829,17039,1566,10957,1415,4129,1397,36745,2590,29926,22997,2587
2016-04-08,6222,9841,147568,8309,5329,1638280,48919,22496,127803,111414,98181,49097,105317,138555,102313,26372,75255,32631,85007,70696,301927,17648,11870,96498,248172,49955,22133,17885,62234,52994,19854,43204,55408,86801,15666,2222,12036,1930,5237,1631,35109,2573,28755,22127,2599
2016-04-09,5538,9924,113574,9834,4930,1525070,44382,19937,97919,90310,99563,52892,103483,129428,108705,21595,60479,29467,33970,70094,352139,26613,10509,138454,238708,52344,24139,16225,67017,54340,21126,54217,79457,115359,25219,2109,12478,2641,6613,1339,42821,3112,27864,25184,3548
2016-04-10,5504,10056,133835,8664,5381,1630126,51866,23903,121697,128712,119789,60607,131329,146793,108230,26204,76746,131639,20807,71331,375746,29344,11299,95842,260547,55148,26035,17696,70756,59249,19985,63315,89454,207590,17076,1743,16479,2084,5428,989,48504,3190,35586,24727,5277
2016-04-11,6099,10199,162534,9168,5759,1745350,58881,29588,154775,139936,110674,66478,136734,162180,108807,42431,66628,46704,17668,90308,339442,31195,13740,92683,244835,62566,26072,18878,71079,61553,16006,40267,98876,116725,14119,1808,11151,1356,4231,1455,42276,2686,31399,21333,4125
2016-04-12,6057,9630,159154,10562,5316,1714150,60135,24793,161137,126225,109562,56680,132041,169183,101045,24631,89590,28564,17954,82551,290284,18196,12878,138291,229097,55664,22404,20011,64643,66653,16400,55205,100992,90407,13754,2010,10894,1512,4412,1512,40294,2696,30391,19841,3155
2016-04-13,5976,9333,149975,15354,5355,1721449,58411,32795,154498,125924,110352,54600,122985,172330,95278,20882,80313,35654,12835,70571,295977,16126,13172,108865,190582,60759,23918,18543,58914,65372,21556,45804,67606,85775,13610,1762,10648,1269,4176,1393,37260,2945,29433,20566,3375
2016-04-14,6189,9354,158501,18402,5412,1706460,55138,40643,148170,145112,100802,53016,121194,170284,94536,19471,96286,52307,17638,62252,288887,16119,12286,91329,175661,2037886,23574,24568,76916,66531,18780,47537,56731,82757,14826,2091,14248,1495,4297,1346,34944,2749,28447,20009,3275
2016-04-15,6559,9407,148043,18517,5198,1602555,46362,25732,121478,105667,94804,48438,110652,155702,89006,23581,95618,41873,14024,62099,279179,17295,12689,100622,167340,3434032,21862,19869,76018,63419,22061,51415,51091,118121,19390,1535,24181,1892,3738,1309,34528,2603,27486,20984,3103
2016-04-16,5744,9587,111131,16662,4793,1486221,40358,24188,105967,94806,94835,49827,119463,141558,99018,21179,68062,43311,11321,57247,268253,20954,9606,111144,177464,3256635,22200,16641,71754,57663,20278,174867,73600,93797,22599,1829,8687,1052,3327,618,38212,2505,27257,22212,3818
2016-04-17,5108,9783,116368,13218,6585,1566622,45543,24833,116887,117674,109987,56773,121206,162403,97096,24461,114426,33293,14603,69342,318571,30784,12109,97348,188770,3487720,26875,18403,99710,85989,45904,58351,199870,147947,24220,1445,13563,1371,3552,637,45037,2933,26028,22732,4085
2016-04-18,5682,9419,158367,11215,6713,1715129,55789,23973,144492,140233,101646,60764,116125,160877,97252,36963,80216,28510,11376,78189,345557,21995,14277,93812,183979,3432447,26026,17429,82811,65022,20310,44982,95073,102481,27746,1903,11590,1288,4076,1425,39641,2838,26414,21162,3457
2016-04-19,5576,9727,163377,8462,6238,1740633,57470,24598,163872,130103,103148,72953,113890,160220,128766,28812,85887,31137,10162,75504,302936,17177,14123,86823,178752,3429741,23125,16991,69372,79356,43449,40414,144294,122854,27515,1773,13466,1887,4863,1696,36183,3225,28309,20921,3182
2016-04-20,7069,8984,165278,7590,7221,1727679,54841,38948,161825,122863,107721,71034,115356,168199,107166,23116,68338,51980,9471,67384,316052,15498,17451,80201,168475,3402076,26898,17579,59341,98273,19528,37099,64146,111856,23727,1887,12563,1450,4496,1498,36518,7583,29997,20700,3578
